dataset	ID	adj.P.Val	logFC	symbol	abs_logFC	direction
GSE66229	211639_x_at	0.0254	0.655	IGHV4-31///IGHM///IGHG4///IGHG3///IGHG1///IGHD///IGHA2///IGHA1///IGH	0.655	Up
GSE66229	232406_at	0.0142	0.651	LOC105372526	0.651	Up
GSE66229	211881_x_at	0.0394	0.65	IGLJ3	0.65	Up
GSE66229	203892_at	0.0333	-0.646	WFDC2	0.646	Down
GSE66229	217901_at	0.0261	-0.645	DSG2	0.645	Down
GSE66229	217281_x_at	0.0254	0.641	LOC102725526///IGHV4-31///IGHM///IGHG3///IGHG2///IGHG1///IGHA2///IGHA1///IGH	0.641	Up
GSE66229	216365_x_at	0.0144	0.639	IGLJ3///CKAP2	0.639	Up
GSE66229	239108_at	0.0219	-0.634	FAR2	0.634	Down
GSE66229	217480_x_at	0.0196	0.629	IGKV1OR2-118	0.629	Up
GSE66229	203562_at	0.0173	0.627	FEZ1	0.627	Up
GSE66229	208767_s_at	0.00954	-0.618	LAPTM4B	0.618	Down
GSE66229	203716_s_at	0.00273	-0.616	DPP4	0.616	Down
GSE66229	219614_s_at	0.0023	-0.615	SLC6A20	0.615	Down
GSE62254	207430_s_at	0.00672	0.611	MSMB	0.611	Up
GSE62254	219140_s_at	1.21e-06	0.609	RBP4	0.609	Up
GSE62254	206334_at	0.0306	0.606	LIPF	0.606	Up
GSE66229	205442_at	0.0196	-0.604	MFAP3L	0.604	Down
GSE66229	228090_at	3.51e-06	-0.603	NMNAT3	0.603	Down
GSE66229	233059_at	0.0199	-0.6	KCNJ3	0.6	Down
GSE62254	218963_s_at	2.27e-05	0.599	KRT23	0.599	Up
GSE66229	236741_at	0.0195	-0.596	WDR72	0.596	Down
GSE66229	208209_s_at	0.018	-0.592	C4BPB	0.592	Down
GSE66229	205014_at	0.0417	-0.588	FGFBP1	0.588	Down
GSE66229	211465_x_at	0.0023	-0.587	FUT6	0.587	Down
GSE62254	214612_x_at	0.0144	0.586	MAGEA6	0.586	Up
GSE66229	1553105_s_at	0.0461	-0.584	DSG2	0.584	Down
GSE62254	205261_at	0.0187	0.582	PGC	0.582	Up
GSE62254	222484_s_at	7.44e-05	0.58	CXCL14	0.58	Up
GSE62254	209942_x_at	0.0162	0.579	MAGEA6///MAGEA3	0.579	Up
GSE66229	208029_s_at	0.01	-0.579	LAPTM4B	0.579	Down
GSE62254	218002_s_at	7.19e-05	0.578	CXCL14	0.578	Up
GSE66229	203407_at	0.00105	-0.574	PPL	0.574	Down
GSE66229	226925_at	5.01e-05	-0.573	PXYLP1	0.573	Down
GSE66229	210861_s_at	0.0445	-0.573	WISP3	0.573	Down
GSE66229	238657_at	0.00031	-0.571	UBXN10	0.571	Down
GSE66229	209504_s_at	0.0105	-0.568	PLEKHB1	0.568	Down
GSE66229	210399_x_at	0.000194	-0.561	FUT6	0.561	Down
GSE62254	205220_at	0.000275	-0.56	HCAR3	0.56	Down
GSE66229	233555_s_at	0.02	-0.559	SULF2	0.559	Down
GSE62254	206561_s_at	0.0106	0.557	AKR1B10	0.557	Up
GSE62254	227194_at	0.00351	0.553	FAM3B	0.553	Up
GSE66229	231033_at	0.00281	-0.553	DSC2	0.553	Down
GSE62254	212768_s_at	0.00883	0.552	OLFM4	0.552	Up
GSE66229	242546_at	0.0334	-0.551	LINC01296///DUXAP10	0.551	Down
GSE62254	202018_s_at	0.0036	0.55	LTF	0.55	Up
GSE62254	235079_at	6.89e-11	0.549	ZNF704	0.549	Up
GSE62254	210297_s_at	0.0172	0.549	MSMB	0.549	Up
