dataset	ID	adj.P.Val	logFC	symbol	abs_logFC	direction
GSE62254	235754_at	0.00418	-0.138	HFE	0.138	Down
GSE62254	235878_at	0.00365	0.0975		0.0975	Up
GSE62254	224376_s_at	0.00374	0.104	TGIF2-C20orf24///C20orf24	0.104	Up
GSE62254	224955_at	0.00417	0.139	TEAD1	0.139	Up
GSE62254	223652_at	0.00353	0.19	AS3MT	0.19	Up
GSE62254	213183_s_at	0.00374	0.184		0.184	Up
GSE62254	226985_at	0.00412	0.127	FGD5	0.127	Up
GSE62254	226686_at	0.00425	-0.103	CISD2	0.103	Down
GSE62254	203241_at	0.00419	0.0815	UVRAG	0.0815	Up
GSE62254	241412_at	0.00419	-0.308	BTC	0.308	Down
GSE62254	202089_s_at	0.00425	-0.189	SLC39A6	0.189	Down
GSE62254	201316_at	0.00424	-0.0894	PSMA2	0.0894	Down
GSE62254	204205_at	0.00424	-0.212	APOBEC3G	0.212	Down
GSE62254	218372_at	0.00417	-0.0546	MED9	0.0546	Down
GSE62254	212923_s_at	0.00431	0.155	PXDC1	0.155	Up
GSE62254	212259_s_at	0.00418	0.0882	PBXIP1	0.0882	Up
GSE62254	204982_at	0.0042	-0.112	GIT2	0.112	Down
GSE62254	220892_s_at	0.00431	-0.206	PSAT1	0.206	Down
GSE62254	213140_s_at	0.00432	0.122	SS18L1	0.122	Up
GSE62254	218346_s_at	0.00432	0.206	SESN1	0.206	Up
GSE62254	1555761_x_at	0.00384	-0.0495	RBM15	0.0495	Down
GSE62254	201876_at	0.00411	0.156	PON2	0.156	Up
GSE62254	209302_at	0.00416	-0.088	POLR2H	0.088	Down
GSE62254	217472_at	0.00337	-0.0518		0.0518	Down
GSE62254	235331_x_at	0.00418	-0.207	PCGF5	0.207	Down
GSE62254	218027_at	0.00402	-0.0991	MRPL15	0.0991	Down
GSE62254	213519_s_at	0.00405	0.138	LAMA2	0.138	Up
GSE62254	203157_s_at	0.00427	0.168	GLS	0.168	Up
GSE62254	242633_x_at	0.0043	0.0695	ZNF75A	0.0695	Up
GSE62254	222474_s_at	0.00421	-0.0862	TOMM22	0.0862	Down
GSE62254	210211_s_at	0.00332	-0.0497	HSP90AA1	0.0497	Down
GSE62254	204655_at	0.00435	-0.226	CCL5	0.226	Down
GSE62254	218954_s_at	0.00414	-0.107	BRF2	0.107	Down
GSE62254	1557331_at	0.00417	-0.112	POLR1B	0.112	Down
GSE62254	202716_at	0.00441	0.0803	PTPN1	0.0803	Up
GSE62254	204824_at	0.00443	-0.124	ENDOG	0.124	Down
GSE62254	212976_at	0.00384	-0.144	LRRC8B	0.144	Down
GSE62254	209297_at	0.00444	0.0826	ITSN1	0.0826	Up
GSE62254	239348_at	0.00306	0.155		0.155	Up
GSE62254	213544_at	0.00285	-0.0527	ING2	0.0527	Down
GSE62254	227190_at	0.00437	0.206	TMEM37	0.206	Up
GSE62254	1552264_a_at	0.00445	-0.111	MAPK1	0.111	Down
GSE62254	219322_s_at	0.00445	-0.0708	WRAP73	0.0708	Down
GSE62254	229500_at	0.00445	-0.133	SLC30A9	0.133	Down
GSE62254	210762_s_at	0.00446	0.153	DLC1	0.153	Up
GSE62254	202279_at	0.00427	-0.106	C14orf2	0.106	Down
GSE62254	212294_at	0.00418	0.11	GNG12	0.11	Up
GSE62254	226795_at	0.00445	0.0939	LRCH1	0.0939	Up
GSE62254	201137_s_at	0.00385	-0.196	HLA-DPB1	0.196	Down
GSE62254	219062_s_at	0.00446	-0.113	ZCCHC2	0.113	Down
GSE62254	203616_at	0.00436	-0.106	POLB	0.106	Down
GSE62254	238612_at	0.00447	-0.0869	BRD4	0.0869	Down
GSE62254	1560909_x_at	0.00238	0.0284		0.0284	Up
GSE62254	203108_at	0.00412	-0.184	GPRC5A	0.184	Down
GSE62254	213760_s_at	0.00448	-0.101	ZNF330	0.101	Down
GSE62254	1552330_at	0.00372	0.152	CENPBD1	0.152	Up
GSE62254	218532_s_at	0.00449	0.296	FAM134B	0.296	Up
GSE62254	205242_at	0.00448	-0.392	CXCL13	0.392	Down
GSE62254	1554010_at	0.00427	-0.0864	NDST1	0.0864	Down
GSE62254	1553479_at	0.00306	-0.0408	TMEM145	0.0408	Down
GSE62254	237158_s_at	0.00349	-0.101	MPHOSPH9	0.101	Down
GSE62254	1557996_at	0.00416	0.131		0.131	Up
GSE62254	242428_at	0.00304	0.138		0.138	Up
GSE62254	224668_at	0.00454	0.0899	SYS1	0.0899	Up
GSE62254	225094_at	0.00454	-0.0723	KMT5A	0.0723	Down
GSE62254	203088_at	0.00409	0.161	FBLN5	0.161	Up
GSE62254	1555427_s_at	0.00453	-0.117	SYNCRIP	0.117	Down
GSE62254	233220_at	0.00339	-0.0797	GRIN3A	0.0797	Down
GSE62254	202863_at	0.0045	-0.0971	SP100	0.0971	Down
GSE62254	223433_at	0.00453	0.0957	YAE1D1	0.0957	Up
GSE62254	208975_s_at	0.00435	-0.0691	KPNB1	0.0691	Down
GSE62254	203024_s_at	0.00427	-0.108	C5orf15	0.108	Down
